threshold,accuracy,balanced_accuracy,precision,recall,f1
0.1,0.7452229299363057,0.7752305327868853,0.6166666666666667,0.9098360655737705,0.7350993377483444
0.15000000000000002,0.7611464968152867,0.7837687841530054,0.6390532544378699,0.8852459016393442,0.7422680412371134
0.20000000000000004,0.7866242038216561,0.8016137295081966,0.6751592356687898,0.8688524590163934,0.7598566308243727
0.25000000000000006,0.7961783439490446,0.8019552595628415,0.7013888888888888,0.8278688524590164,0.7593984962406015
0.30000000000000004,0.7961783439490446,0.7974726775956285,0.7101449275362319,0.8032786885245902,0.7538461538461538
0.3500000000000001,0.7993630573248408,0.7926058743169399,0.7322834645669292,0.7622950819672131,0.7469879518072289
0.40000000000000013,0.802547770700637,0.7907274590163935,0.75,0.7377049180327869,0.743801652892562
0.4500000000000001,0.7929936305732485,0.7754439890710383,0.7522123893805309,0.6967213114754098,0.723404255319149
0.5000000000000001,0.7802547770700637,0.7560621584699454,0.7523809523809524,0.6475409836065574,0.6960352422907489
0.5500000000000002,0.7834394904458599,0.754183743169399,0.7755102040816326,0.6229508196721312,0.6909090909090909
0.6000000000000002,0.7834394904458599,0.7497011612021858,0.7934782608695652,0.5983606557377049,0.6822429906542056
0.6500000000000001,0.7898089171974523,0.751921106557377,0.8255813953488372,0.5819672131147541,0.6826923076923077
0.7000000000000002,0.7898089171974523,0.7474385245901639,0.85,0.5573770491803278,0.6732673267326733
0.7500000000000002,0.7866242038216561,0.7403517759562841,0.8666666666666667,0.5327868852459017,0.6598984771573604
0.8000000000000003,0.7738853503184714,0.7209699453551912,0.8805970149253731,0.48360655737704916,0.6243386243386243
0.8500000000000003,0.7515923566878981,0.6892930327868853,0.8928571428571429,0.4098360655737705,0.5617977528089888
0.9000000000000002,0.7292993630573248,0.6561219262295082,0.9302325581395349,0.32786885245901637,0.48484848484848486
0.9500000000000003,0.7070063694267515,0.6229508196721312,1.0,0.2459016393442623,0.39473684210526316
